Benchmark,Base,Changed
2to3,12.052862,12.020834
call_method,0.486167,0.478596
call_method_slots,0.475225,0.480236
call_method_unknown,0.493363,0.500674
call_simple,0.401040,0.403647
chaos,0.520773,0.519195
django_v3,0.942735,0.948436
etree_generate,0.524349,0.526743
etree_iterparse,0.724195,0.728323
etree_parse,0.478225,0.482549
etree_process,0.446761,0.444048
fannkuch,2.171859,2.170013
fastpickle,0.797467,0.809622
fastunpickle,0.981146,0.979752
float,0.500310,0.506445
formatted_logging,0.757906,0.726722
go,0.951418,0.955328
hexiom2,209.414765,209.238970
json_dump_v2,4.624792,4.623114
json_load,0.746176,0.743669
mako_v2,0.069105,0.069859
meteor_contest,0.328838,0.325806
nbody,0.473619,0.469961
normal_startup,0.929839,1.043941
nqueens,0.448814,0.447764
pathlib,0.458695,0.462290
pickle_dict,0.635787,0.638163
pickle_list,0.428646,0.435722
pidigits,0.409386,0.409892
raytrace,2.384494,2.393681
regex_compile,0.591691,0.592807
regex_effbot,0.086083,0.085991
regex_v8,0.074170,0.074189
richards,0.280354,0.280463
silent_logging,0.121727,0.123696
simple_logging,0.663767,0.644777
spectral_norm,0.599646,0.597674
startup_nosite,0.615553,0.716569
telco,0.018287,0.018215
tornado_http,0.733467,0.730327
unpack_sequence,0.000080,0.000080
unpickle_list,0.598304,0.620273
